time,site_id,p_ac_kw,p_ac_ph1_kw,p_ac_ph2_kw,p_ac_ph3_kw,e_exported_kwh,e_imported_kwh,e_net_kwh,v_ph1_n_v,v_ph2_n_v,v_ph3_n_v,v_ph1_ph2_v,v_ph2_ph3_v,v_ph3_ph1_v,i_ph1_a,i_ph2_a,i_ph3_a,freq_hz,power_factor,power_factor_ph1,power_factor_ph2,power_factor_ph3,q_kvar,q_ph1_kvar,q_ph2_kvar,q_ph3_kvar,q_total_kvarh,quality
2024-06-21 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.2,,,,1829.2,,1829.2,,,,,,,,,,50,0.99,,,,0.2,,,,,0
2024-06-21 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1829.2,,1829.2,,,,,,,,,,50,1,,,,0,,,,,0
2024-06-21 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1829.2,,1829.2,,,,,,,,,,50.01,1,,,,0,,,,,0
2024-06-21 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,1829.2,,1829.2,,,,,,,,,,50,1,,,,0,,,,,0
2024-12-01 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.0015524320583333328,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.0540668196416667,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.120572101083334,,,,0.699999999999819,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1433220296666673,,,,0.6999999999998192,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1282084510000003,,,,5.899999999992367,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.0881548569333335,,,,0.6999999999989095,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.116704734583333,,,,0.5000000000000007,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.6328345526666665,,,,0.6000000000003647,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.792091608833333,,,,6.400000000005103,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.0169421348333336,,,,0.19999999999981832,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-01 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.22817727074000005,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1363236939166668,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1522295711333337,,,,0.4999999999981814,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1305462669999997,,,,0.7000000000007287,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.2866957635,,,,6.300000000004739,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1517465159999998,,,,0.0999999999994543,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.0734344183333335,,,,0.7999999999983638,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.123680063666667,,,,3.40000000000055,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.0426238804166665,,,,3.0000000000036424,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.793016131416666,,,,0.6000000000003647,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-02 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.39473507382416667,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.111970160333333,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1345048972500003,,,,0.599999999999455,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.2538029741666668,,,,0.6999999999998192,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.0575365184999996,,,,6.49999999999819,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2810.3817289033336,,,,2583.7000000000016,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2509.6870583333334,,,,2170.2000000000025,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1209.0336434415833,,,,1204.0999999999976,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.7002835277499997,,,,2.3999999999987303,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.768934552666667,,,,2.1999999999989113,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,784.2000000000007,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-03 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.23851576824166673,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.68513163225,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.7540743981666664,,,,0.6000000000012743,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.6774559037499999,,,,0.40000000000054636,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.566906527583333,,,,5.000000000003645,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.6807029664166668,,,,0.2999999999974534,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.6623388317499996,,,,0.30000000000018234,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.5688839234166663,,,,1.999999999997274,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.243357258,,,,3.3999999999950923,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.3787432041666667,,,,0.200000000000728,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-04 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.0458564961833332,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.7372753871666669,,,,0.5000000000000007,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.6065645505,,,,0.100000000000364,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.7341794537500002,,,,3.1999999999989126,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.741341110583333,,,,2.299999999999275,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.679504117083333,,,,0.49999999999909095,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1.6179258495,,,,0.400000000001456,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,3.190166479833333,,,,11.100000000004915,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.20954582475,,,,0.49999999999909117,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-05 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0.27005331986666675,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1499762009999994,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.06154918325,,,,0.6000000000003647,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.1614627995333335,,,,0.5999999999985455,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.0602000395833335,,,,6.500000000002737,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2570.2442419885,,,,2635.8999999999924,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.5236030707499997,,,,2.4000000000023674,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.13291730575,,,,2.5000000000018225,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.900467004666666,,,,2.800000000002005,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,2.780605378908333,,,,3.39999999999964,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-06 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-07 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-07 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
2024-12-07 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0
